"Date","Rate","FEDFUNDS","M1_change","Unemployment","UMCSENT","Commodities_Price","Oil_Change","GoldPrice","MortgageRate"
1972-01-01,3.3,3.51,0.146310633591405,5.8,89.2,4,-1.3,47.15,7.4
1972-02-01,3.5,3.3,0.137909516380655,5.7,92.8,4,-1.3,48.2,7.31
1972-03-01,3.5,3.83,0.125865517771965,5.8,91.4,3.7,-1.3,48.38,7.23
1972-04-01,3.5,4.17,0.123481166464156,5.7,90,3.7,-1.3,49.6,7.33
1972-05-01,3.2,4.27,0.125243737813109,5.7,88.6,3.7,-1.3,59.45,7.4
1972-06-01,2.7,4.46,0.124219910846954,5.7,90.8,3.9,-1.3,64.65,7.38
1972-07-01,2.9,4.55,0.113301942319011,5.6,93,4.4,-1.3,68.3,7.4
1972-08-01,2.9,4.81,0.102261123267688,5.6,95.2,4.2,0,66.88,7.42
1972-09-01,3.2,4.87,0.088086642599278,5.5,93.7,5,0,64.2,7.43
1972-10-01,3.4,5.05,0.07975372279496,5.6,92.2,4.7,0,64.39,7.42
1972-11-01,3.7,5.06,0.0780584728924212,5.3,90.7,5.2,0,63.6,7.44
1972-12-01,3.4,5.33,0.0748979304519218,5.2,87.7666666666667,6.5,0,64.9,7.45
1973-01-01,3.6,5.94,0.0688309878779435,4.9,84.8333333333333,7.2,1.3,66,7.43
1973-02-01,3.9,6.58,0.0690367920628359,5,81.9,8.2,1.3,85,7.45
1973-03-01,4.6,7.09,0.0747102931152012,4.9,80.2666666666667,10.7,1.9,90,7.49
1973-04-01,5.1,7.12,0.0720476706392198,5,78.6333333333333,10.9,3.9,90.72,7.56
1973-05-01,5.5,7.84,0.0643078164940133,4.9,77,12.7,7.8,114.75,7.7
1973-06-01,6,8.49,0.0593570761637989,4.9,75.3333333333333,14.6,11,123.25,7.76
1973-07-01,5.7,10.4,0.0591178406846609,4.8,73.6666666666667,12.3,11.7,115.6,8.18
1973-08-01,7.4,10.5,0.0589306621568883,4.8,72,18.5,10.3,103.5,8.66
1973-09-01,7.4,10.78,0.0624437877425158,4.8,73.5,16.2,16.7,100,8.85
1973-10-01,7.8,10.01,0.0644300419367136,4.6,75,15.5,16.7,98,8.68
1973-11-01,8.3,10.03,0.0626023428643407,4.8,76.5,15.4,21.8,101,8.55
1973-12-01,8.7,9.95,0.0580830113423907,4.9,71.6,15.3,27.6,112.25,8.56
1974-01-01,9.4,9.65,0.0575095643588793,5.1,66.7,17.8,55.8,132.5,8.52
1974-02-01,10,8.97,0.0612946812430905,5.2,61.8,17.9,76.3,162.5,8.42
1974-03-01,10.4,9.35,0.067337176499448,5.1,65.2333333333333,16.6,75.2,173,8.41
1974-04-01,10.1,10.51,0.075881420031719,5.1,68.6666666666667,17,71.9,169.25,8.73
1974-05-01,10.7,11.31,0.0886550556361877,5.1,72.1,16.4,65.7,156.75,9.03
1974-06-01,10.9,11.93,0.102244089763591,5.4,69.5333333333333,14.3,60.8,144.25,9.1
1974-07-01,11.5,12.92,0.112014345487149,5.5,66.9666666666667,20.3,77.9,156,9.42
1974-08-01,10.9,12.01,0.118025751072961,5.5,64.4,17.7,78.5,156,9.74
1974-09-01,11.9,11.34,0.123436196830692,5.9,62.7666666666667,19.7,68.7,151.25,10.03
1974-10-01,12.1,10.06,0.12402088772846,6,61.1333333333333,22.9,69.2,167,9.94
1974-11-01,12.2,9.45,0.12757686417717,6.6,59.5,23.4,65.8,184,9.72
1974-12-01,12.3,8.53,0.133372296902396,7.2,58.8666666666667,20.9,52.8,186.5,9.56
1975-01-01,11.8,7.13,0.139932534605095,8.1,58.2333333333333,17.1,25.1,175.8,9.29
1975-02-01,11.2,6.24,0.146031011339968,8.1,57.6,14.4,13.5,181.75,9.02
1975-03-01,10.3,5.54,0.143661648086427,8.6,62.6666666666667,12.5,14.2,177.25,8.86
1975-04-01,10.2,5.49,0.144002749455837,8.8,67.7333333333333,12.7,15.3,167,8.84
1975-05-01,9.5,5.22,0.142007774982849,9,72.8,11.8,16,167,8.89
1975-06-01,9.4,5.55,0.130553656869446,8.8,73.7666666666667,11.5,26.9,166.25,8.9
1975-07-01,9.7,6.1,0.1261629226231,8.6,74.7333333333333,8.7,11.4,166.7,8.89
1975-08-01,8.6,6.14,0.130754439543038,8.4,75.7,5.5,13.7,159.8,9.02
1975-09-01,7.9,6.24,0.134361977700191,8.4,75.6666666666667,6.3,13.7,141.25,9.14
1975-10-01,7.4,5.82,0.142393372887048,8.4,75.6333333333333,5.1,14.3,142.9,9.24
1975-11-01,7.4,5.22,0.146116180725573,8.3,75.6,3.7,13,138.15,9.11
1975-12-01,6.9,5.2,0.150537634408602,8.2,78.6,4.2,17.8,140.25,9.09
