Year,Month,Date,MonthlyInflation,Rate,FEDFUNDS,M1_change,Unemployment,UMCSENT,Commodities_Price,Oil_Change,GoldPrice,MortgageRate,Label
1972,Jan,1/1/1972,41.1,3.3,3.51,14.63106336,5.8,89.2,4,-1.3,47.15,7.4,Jan-72
1972,Feb,2/1/1972,41.3,3.5,3.3,13.79095164,5.7,92.8,4,-1.3,48.2,7.31,Feb-72
1972,Mar,3/1/1972,41.4,3.5,3.83,12.58655178,5.8,91.4,3.7,-1.3,48.38,7.23,Mar-72
1972,Apr,4/1/1972,41.5,3.5,4.17,12.34811665,5.7,90,3.7,-1.3,49.6,7.33,Apr-72
1972,May,5/1/1972,41.6,3.2,4.27,12.52437378,5.7,88.6,3.7,-1.3,59.45,7.4,May-72
1972,Jun,6/1/1972,41.7,2.7,4.46,12.42199108,5.7,90.8,3.9,-1.3,64.65,7.38,Jun-72
1972,Jul,7/1/1972,41.9,2.9,4.55,11.33019423,5.6,93,4.4,-1.3,68.3,7.4,Jul-72
1972,Aug,8/1/1972,42,2.9,4.81,10.22611233,5.6,95.2,4.2,0,66.88,7.42,Aug-72
1972,Sep,9/1/1972,42.1,3.2,4.87,8.80866426,5.5,93.7,5,0,64.2,7.43,Sep-72
1972,Oct,10/1/1972,42.3,3.4,5.05,7.975372279,5.6,92.2,4.7,0,64.39,7.42,Oct-72
1972,Nov,11/1/1972,42.4,3.7,5.06,7.805847289,5.3,90.7,5.2,0,63.6,7.44,Nov-72
1972,Dec,12/1/1972,42.5,3.4,5.33,7.489793045,5.2,87.76666667,6.5,0,64.9,7.45,Dec-72
1973,Jan,1/1/1973,42.6,3.6,5.94,6.883098788,4.9,84.83333333,7.2,1.3,66,7.43,Jan-73
1973,Feb,2/1/1973,42.9,3.9,6.58,6.903679206,5,81.9,8.2,1.3,85,7.45,Feb-73
1973,Mar,3/1/1973,43.3,4.6,7.09,7.471029312,4.9,80.26666667,10.7,1.9,90,7.49,Mar-73
1973,Apr,4/1/1973,43.6,5.1,7.12,7.204767064,5,78.63333333,10.9,3.9,90.72,7.56,Apr-73
1973,May,5/1/1973,43.9,5.5,7.84,6.430781649,4.9,77,12.7,7.8,114.75,7.7,May-73
1973,Jun,6/1/1973,44.2,6,8.49,5.935707616,4.9,75.33333333,14.6,11,123.25,7.76,Jun-73
1973,Jul,7/1/1973,44.3,5.7,10.4,5.911784068,4.8,73.66666667,12.3,11.7,115.6,8.18,Jul-73
1973,Aug,8/1/1973,45.1,7.4,10.5,5.893066216,4.8,72,18.5,10.3,103.5,8.66,Aug-73
1973,Sep,9/1/1973,45.2,7.4,10.78,6.244378774,4.8,73.5,16.2,16.7,100,8.85,Sep-73
1973,Oct,10/1/1973,45.6,7.8,10.01,6.443004194,4.6,75,15.5,16.7,98,8.68,Oct-73
1973,Nov,11/1/1973,45.9,8.3,10.03,6.260234286,4.8,76.5,15.4,21.8,101,8.55,Nov-73
1973,Dec,12/1/1973,46.2,8.7,9.95,5.808301134,4.9,71.6,15.3,27.6,112.25,8.56,Dec-73
1974,Jan,1/1/1974,46.6,9.4,9.65,5.750956436,5.1,66.7,17.8,55.8,132.5,8.52,Jan-74
1974,Feb,2/1/1974,47.2,10,8.97,6.129468124,5.2,61.8,17.9,76.3,162.5,8.42,Feb-74
1974,Mar,3/1/1974,47.8,10.4,9.35,6.73371765,5.1,65.23333333,16.6,75.2,173,8.41,Mar-74
